# Title/abstract screening for the Paper 0 light-yield survey.
# auto_* is a crude keyword verdict; reviewed_* is what a human decided
# after reading, and is what the extraction step uses. A blank
# reviewed_decision means not yet reviewed.
arxiv_id,published,title,auto_decision,auto_reason,reviewed_decision,reviewed_reason
1810.06263v1,2018-10-15,Liquid scintillators neutron response function: a tutorial,exclude,organic or liquid scintillator,,
1811.02680v1,2018-11-04,Development of a SiPM-based readout-module for the characterization of various scintillator materials,exclude,abstract reports no light yield or output,,
1811.11587v3,2018-11-28,Cherenkov and Scintillation Light Separation Using Wavelength in LAB Based Liquid Scintillator,exclude,organic or liquid scintillator,,
1812.11267v1,2018-12-29,Characterization of Gadolinium-loaded Plastic Scintillator for Use as a Neutron Veto,exclude,organic or liquid scintillator,,
1901.03579v3,2019-01-11,Use of polyethylene naphthalate as a self-vetoing structural material,exclude,organic or liquid scintillator,,
1901.11009v2,2019-01-29,Cryogenic light detectors with enhanced performance for rare events physics,exclude,abstract reports no light yield or output,,
1902.07743v1,2019-02-20,"Interaction position, time, and energy resolution in organic scintillator bars with dual-ended readout",exclude,organic or liquid scintillator,,
1904.03640v2,2019-04-07,Pulse-shape discrimination potential of new scintillator material: La-GPS:Ce,screen,abstract mentions a light yield -- read the full text,,
1904.09362v1,2019-04-19,GaAs as a bright cryogenic scintillator for the direct dark matter detection,screen,abstract mentions a light yield -- read the full text,,
1906.02288v1,2019-06-05,High-precision characterization of the neutron light output of stilbene along the directions of maximum and minimum response,exclude,organic or liquid scintillator,,
1906.09296v2,2019-06-21,Production and characterization of a PbMoO$_4$ cryogenic detector from archaeological Pb,screen,abstract mentions a light yield -- read the full text,,
1907.03647v2,2019-07-08,Phonon and light read out of a Li$_2$MoO$_4$ crystal with multiplexed kinetic inductance detectors,exclude,abstract reports no light yield or output,,
1907.08039v1,2019-07-18,First test of a $\mathrm{CdMoO_4}$ scintillating bolometer for neutrinoless double beta decay experiments with $\mathrm{{}^{116}Cd}$ and $\mathrm{{}^{100}Mo}$ nuclides,exclude,abstract reports no light yield or output,,
1907.09030v1,2019-07-21,A Compton polarimeter using scintillators read out with MPPCs through Citiroc ASIC,exclude,organic or liquid scintillator,,
1907.10856v3,2019-07-25,Characterization of Light Production and Transport in Tellurium Dioxide Crystals,screen,abstract mentions a light yield -- read the full text,,
1909.01184v2,2019-09-03,New fiber read-out design for the large area scintillator detectors: providing good amplitude and time resolutions,exclude,abstract reports no light yield or output,,
1909.02994v1,2019-09-06,The CUPID-Mo experiment for neutrinoless double-beta decay: performance and prospects,screen,abstract mentions a light yield -- read the full text,,
1909.08066v1,2019-09-09,A Hierarchical Bayesian Approach to Neutron Spectrum Unfolding with Organic Scintillators,exclude,organic or liquid scintillator,,
1909.08730v4,2019-09-18,Measurements of Angle-Resolved Reflectivity of PTFE in Liquid Xenon with IBEX,exclude,abstract reports no light yield or output,,
1911.02076v1,2019-11-05,Advanced High-Performance Large Diameter Cs2HfCl6 (CHC) and Mixed Halides Scintillator,screen,abstract mentions a light yield -- read the full text,,
1911.03611v1,2019-11-09,Thallium Strontium Iodide: A High Efficiency Scintillator for Gamma-ray Detection,screen,abstract mentions a light yield -- read the full text,,
1911.03999v2,2019-11-10,Analysis of $^{83m}$Kr Prompt Scintillation Signals in the PIXeY Detector,exclude,abstract reports no light yield or output,,
1911.13217v1,2019-11-26,Na-based crystal scintillators for next-generation rare event searches,screen,abstract mentions a light yield -- read the full text,,
